Placa	Família Segmento	Data Entrada Veículo	Veículo Modelo	Tipo Manutenção Oficina	Grupo Peça	Ano Fab/Mod	Dias na Oficina	Valor Total	MARCA	MODELO	PORTE	COMBUSTÍVEL	Idade na Manut	Classificação idade na Manut
HMG0000	PICKUP PESADA	13/12/2018	VW AMAROK CD 4X4 SE	CORRETIVA	MÃO DE OBRA	2012	1	129.28	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	13/12/2018	VW AMAROK CD 4X4 SE	CORRETIVA	SUSPENSAO	2012	1	92.64	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0008	LEVE	06/02/2019	BLAZER ADVANTAGE	CORRETIVA	MOTOR	2009	9	1475.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0008	LEVE	06/02/2019	BLAZER ADVANTAGE	CORRETIVA	MOTOR	2009	9	32.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0011	LEVE	07/02/2019	ECOSPORT XL 2.0FLEX	CORRETIVA	ACESSORIOS	2008	7	7.36	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0011	LEVE	07/02/2019	ECOSPORT XL 2.0FLEX	CORRETIVA	MOTOR	2008	7	453.8	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0011	LEVE	07/02/2019	ECOSPORT XL 2.0FLEX	CORRETIVA	PRODUTOS	2008	7	38.64	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0013	LEVE	07/02/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	ELETRICA	2007	4	5.0	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	07/02/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	ELETRICA	2007	4	45.0	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	07/02/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	MOTOR	2007	4	209.66	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	07/02/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	MÃO DE OBRA	2007	4	70.0	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0020	LEVE	07/02/2019	BLAZER ADVANTAGE	CORRETIVA	AR CONDICIONADO	2009	50	108.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0020	LEVE	07/02/2019	BLAZER ADVANTAGE	CORRETIVA	ELETRICA	2009	50	1434.32	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0020	LEVE	07/02/2019	BLAZER ADVANTAGE	CORRETIVA	FREIO	2009	50	1182.84	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0020	LEVE	07/02/2019	BLAZER ADVANTAGE	CORRETIVA	MOTOR	2009	50	2266.78	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0020	LEVE	07/02/2019	BLAZER ADVANTAGE	CORRETIVA	MÃO DE OBRA	2009	50	80.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0020	LEVE	07/02/2019	BLAZER ADVANTAGE	CORRETIVA	PRODUTOS	2009	50	50.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0020	LEVE	07/02/2019	BLAZER ADVANTAGE	CORRETIVA	SUSPENSAO	2009	50	2845.52	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0020	LEVE	07/02/2019	BLAZER ADVANTAGE	CORRETIVA	TRANSMISSAO	2009	50	602.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0024	LEVE	08/02/2019	BLAZER ADVANTAGE	CORRETIVA	ACESSORIOS	2005	20	8.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0024	LEVE	08/02/2019	BLAZER ADVANTAGE	CORRETIVA	MOTOR	2005	20	980.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0024	LEVE	08/02/2019	BLAZER ADVANTAGE	CORRETIVA	MOTOR	2005	20	317.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0024	LEVE	08/02/2019	BLAZER ADVANTAGE	CORRETIVA	TRANSMISSAO	2005	20	150.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0024	LEVE	08/02/2019	BLAZER ADVANTAGE	CORRETIVA	TRANSMISSAO	2005	20	32.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0024	LEVE	08/02/2019	BLAZER ADVANTAGE	CORRETIVA	TRANSMISSAO	2005	20	566.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	14	MAIOR 10 ANOS
HMG0035	PICKUP PESADA	11/02/2019	L200 TRITON 3.2 D	CORRETIVA	ACESSORIOS	2013	24	99.84	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0035	PICKUP PESADA	11/02/2019	L200 TRITON 3.2 D	CORRETIVA	AR CONDICIONADO	2013	24	81.2	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0035	PICKUP PESADA	11/02/2019	L200 TRITON 3.2 D	CORRETIVA	ELETRICA	2013	24	595.0	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0035	PICKUP PESADA	11/02/2019	L200 TRITON 3.2 D	CORRETIVA	FREIO	2013	24	209.84	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0035	PICKUP PESADA	11/02/2019	L200 TRITON 3.2 D	CORRETIVA	MOTOR	2013	24	444.4	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0035	PICKUP PESADA	11/02/2019	L200 TRITON 3.2 D	CORRETIVA	MÃO DE OBRA	2013	24	160.0	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0035	PICKUP PESADA	11/02/2019	L200 TRITON 3.2 D	CORRETIVA	SUSPENSAO	2013	24	557.72	MITSUBISHI	L200 TRITON 3.2 D	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	ELETRICA	2010	24	750.74	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	ELETRICA	2010	24	27.2	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	FREIO	2010	24	1378.68	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	FREIO	2010	24	86.42	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	MOTOR	2010	24	2457.22	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	MÃO DE OBRA	2010	24	90.5	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	PRODUTOS	2010	24	36.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	SUSPENSAO	2010	24	3181.4	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	SUSPENSAO	2010	24	296.64	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	SUSPENSAO	2010	24	72.32	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	SUSPENSAO	2010	24	302.64	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	SUSPENSAO	2010	24	295.04	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0039	LEVE	12/02/2019	BLAZER ADVANTAGE	CORRETIVA	TRANSMISSAO	2010	24	409.64	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	9	ATÉ 10 ANOS
HMG0050	LEVE	12/02/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	ELETRICA	2006	39	207.19	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
HMG0050	LEVE	12/02/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	ELETRICA	2006	39	481.0	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	13	MAIOR 10 ANOS
