Placa	Família Segmento	Data Entrada Veículo	Veículo Modelo	Tipo Manutenção Oficina	Grupo Peça	Ano Fab/Mod	Dias na Oficina	Valor Total	MARCA	MODELO	PORTE	COMBUSTÍVEL	Idade na Manut	Classificação idade na Manut
HMG0000	PICKUP PESADA	13/12/2018	VW AMAROK CD 4X4 SE	CORRETIVA	MÃO DE OBRA	2012	1	129.28	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	13/12/2018	VW AMAROK CD 4X4 SE	CORRETIVA	SUSPENSAO	2012	1	92.64	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	6	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	11/10/2019	VW AMAROK CD 4X4 SE	CORRETIVA	ELETRICA	2012	4	499.0	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	7	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	30/07/2020	VW AMAROK CD 4X4 SE	CORRETIVA	ACESSORIOS	2012	12	65.54	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	8	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	30/07/2020	VW AMAROK CD 4X4 SE	CORRETIVA	MOTOR	2012	12	458.8	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	8	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	30/07/2020	VW AMAROK CD 4X4 SE	CORRETIVA	PRODUTOS	2012	12	60.0	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	8	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	11/08/2020	VW AMAROK CD 4X4 SE	CORRETIVA	MOTOR	2012	53	312.0	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	8	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	04/01/2021	VW AMAROK CD 4X4 SE	CORRETIVA	ELETRICA	2012	4	59.2	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	04/01/2021	VW AMAROK CD 4X4 SE	CORRETIVA	MOTOR	2012	4	349.4	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	05/03/2021	VW AMAROK CD 4X4 SE	CORRETIVA	MÃO DE OBRA	2012	4	224.0	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	03/05/2021	VW AMAROK CD 4X4 SE	CORRETIVA	MÃO DE OBRA	2012	9	128.0	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	03/05/2021	VW AMAROK CD 4X4 SE	CORRETIVA	SUSPENSAO	2012	9	603.0	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	03/05/2021	VW AMAROK CD 4X4 SE	CORRETIVA	AR CONDICIONADO	2012	9	117.92	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	06/07/2021	VW AMAROK CD 4X4 SE	CORRETIVA	MOTOR	2012	8	603.3	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	15/09/2021	VW AMAROK CD 4X4 SE	CORRETIVA	MOTOR	2012	6	490.88	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	9	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	11/03/2022	VW AMAROK CD 4X4 SE	CORRETIVA	ACESSORIOS	2012	4	560.0	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	10	ATÉ 10 ANOS
HMG0000	PICKUP PESADA	17/11/2022	VW AMAROK CD 4X4 SE	CORRETIVA	SUSPENSAO	2012	0	5194.8	VW	AMAROK CD 4X4 SE	UTILITÁRIO	DIESEL	10	ATÉ 10 ANOS
HMG0008	LEVE	06/02/2019	BLAZER ADVANTAGE	CORRETIVA	MOTOR	2009	9	1507.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	10	ATÉ 10 ANOS
HMG0008	LEVE	17/08/2020	BLAZER ADVANTAGE	CORRETIVA	MOTOR	2009	23	1912.6	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0008	LEVE	17/08/2020	BLAZER ADVANTAGE	CORRETIVA	ELETRICA	2009	23	256.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0008	LEVE	21/09/2020	BLAZER ADVANTAGE	CORRETIVA	MOTOR	2009	17	3150.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0008	LEVE	21/09/2020	BLAZER ADVANTAGE	CORRETIVA	PRODUTOS	2009	17	88.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0008	LEVE	26/10/2020	BLAZER ADVANTAGE	CORRETIVA	ELETRICA	2009	11	896.0	GM	BLAZER ADVANTAGE	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0011	LEVE	07/02/2019	ECOSPORT XL 2.0FLEX	CORRETIVA	ACESSORIOS	2008	7	7.36	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0011	LEVE	07/02/2019	ECOSPORT XL 2.0FLEX	CORRETIVA	MOTOR	2008	7	453.8	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0011	LEVE	07/02/2019	ECOSPORT XL 2.0FLEX	CORRETIVA	PRODUTOS	2008	7	38.64	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	11	MAIOR 10 ANOS
HMG0011	LEVE	07/01/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	ACESSORIOS	2008	56	325.46	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	07/01/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	MOTOR	2008	56	958.84	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	07/01/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	PRODUTOS	2008	56	199.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	07/01/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	ELETRICA	2008	56	648.79	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	07/01/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	FUNILARIA	2008	56	259.78	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	07/01/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	MÃO DE OBRA	2008	56	41.6	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	07/01/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	SUSPENSAO	2008	56	4201.26	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	07/01/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	TRANSMISSAO	2008	56	982.64	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	06/08/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	MOTOR	2008	25	849.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	06/08/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	PRODUTOS	2008	25	144.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0011	LEVE	06/08/2020	ECOSPORT XL 2.0FLEX	CORRETIVA	ELETRICA	2008	25	882.0	FORD	ECOSPORT XL 2.0FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	07/02/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	ELETRICA	2007	4	50.0	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	07/02/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	MOTOR	2007	4	209.66	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	07/02/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	MÃO DE OBRA	2007	4	70.0	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	26/07/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	ELETRICA	2007	122	142.8	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	26/07/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	MOTOR	2007	122	676.2	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	26/07/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	MÃO DE OBRA	2007	122	38.4	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	26/07/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	ACESSORIOS	2007	122	59.0	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
HMG0013	LEVE	26/07/2019	DOBLO ELX 1.8 FLEX	CORRETIVA	EQUIPAMENTOS	2007	122	30.6	FIAT	DOBLO ELX 1.8 FLEX	UTILITÁRIO	GASOLINA	12	MAIOR 10 ANOS
